geneSymbol,0,0,0,3,3,3,6,6,6,9,9,9,12,12,12,15,15,15,18,18,18,21,21,21,24,24,24,27,27,27,30,30,30,33,33,33,36,36,36,39,39,39,42,42,42,45,45,45
Ndufb10,-0.3452829,-0.1966071,-0.2645966,-0.2657969,-0.263395,-0.3642362,-0.2736949,-0.3284919,-0.2872358,-0.2445218,-0.246104,-0.261952,-0.1604039,-0.03449743,-0.1818023,-0.2345012,-0.2701102,-0.3066122,-0.2709474,-0.3083608,-0.3133619,-0.2940766,-0.201132,-0.2953704,-0.212009,-0.2521735,-0.2800061,-0.2322924,-0.2599051,-0.2564068,-0.2521735,-0.1754288,-0.1329059,-0.2295879,-0.2623128,-0.177854,-0.2736949,-0.3069621,-0.3191554,-0.3203114,-0.3333092,-0.3102238,-0.3635636,-0.3776236,-0.3692711,-0.2802438,-0.2565277,-0.2375637
Cyp3a11,2.315379,2.40484,2.425308,1.962182,2.258218,2.245643,2.223306,1.901042,1.956348,1.867594,1.901634,1.844147,2.17749,2.256011,2.236096,2.231481,2.315522,2.302724,2.334025,2.287924,2.288558,2.178796,2.163268,2.187904,2.352253,2.256907,2.265275,1.971883,1.865595,2.023153,2.045908,1.882518,2.026088,2.283633,2.149441,2.190931,2.093633,2.013975,2.21974,2.053254,2.124251,2.169875,2.111228,2.179842,2.185671,2.172994,2.239907,2.245437
Vim,-0.1709506,-0.2803624,-0.2167342,-0.1589833,-0.1596292,-0.2313095,-0.132511,-0.005328132,-0.01135249,-0.08079413,0.1340653,0.1429905,-0.05838583,-0.1928254,-0.1767057,-0.2147466,-0.2282337,-0.300768,-0.206143,-0.2649567,-0.2389091,-0.1505597,-0.3135942,-0.2395203,-0.167358,-0.175812,-0.1389455,-0.2766754,-0.1991226,-0.1881476,-0.01192489,0.009785742,0.01078828,-0.2149951,-0.2761988,-0.2187191,-0.1996252,-0.1790014,-0.2293417,-0.1228714,-0.1756843,-0.147958,-0.3105728,-0.2819059,-0.2880632,-0.180657,-0.1825651,-0.1987455
Hadha,-0.3930866,-0.4265331,-0.4028314,-0.5065005,-0.4991699,-0.4985572,-0.5166204,-0.5002922,-0.4831579,-0.3944043,-0.4078422,-0.3979125,-0.3993351,-0.4223407,-0.4030495,-0.4310345,-0.4456208,-0.3938554,-0.496002,-0.4762262,-0.4848084,-0.4682183,-0.4985572,-0.4790236,-0.4965134,-0.5091385,-0.4979444,-0.4940571,-0.5124797,-0.4869717,-0.4900566,-0.4817122,-0.4767446,-0.3591837,-0.3736204,-0.3318198,-0.5295711,-0.540325,-0.5165195,-0.5389354,-0.540325,-0.5234616,-0.4850146,-0.4755,-0.4533332,-0.479541,-0.5152078,-0.4570163
Lpin2,-0.3070788,-0.04306451,NA,-0.1986199,-0.1396006,NA,-0.3400495,-0.2424501,-0.2208252,0.1912442,-0.05741552,-0.04670059,0.3391991,0.2282665,0.1772127,-0.1179609,-0.005040578,0.07758897,-0.2178511,-0.1901723,-0.06198349,-0.4169479,-0.1786192,-0.1150332,-0.3233123,NA,NA,-0.3928669,NA,-0.2032637,-0.06060076,NA,NA,0.3268416,NA,NA,0.2241488,NA,0.3813291,-0.4165155,NA,-0.1996252,-0.1994997,NA,-0.3352545,-0.2195867,NA,-0.1098286
