Item ID	Item value	Change in Kuiper test statistic when item removed
NFIX	8.6155797785648	0.020833333333333925
LPGAT1	15.7894455055957	-0.010416666666666075
TMEM41B	17.8255643770849	-0.010416666666666075
HSPA4L	20.472658023392	-0.010416666666666075
GLRX	16.6375508012433	-0.010416666666666075
PDHB	12.1326089095665	-0.010416666666666075
MRPL15	16.1522677693416	-0.010416666666666075
COMT	1.6196825071748	0.020833333333333925
PSMB10	13.5699574235042	-0.010416666666666075
TRAK2	12.1560660854917	-0.010416666666666075
SUMO1	15.5306868756964	-0.010416666666666075
GRPEL1	14.946593089848	-0.010416666666666075
UROD	16.2204281726808	-0.010416666666666075
FASTK	8.6495967209133	0.020833333333333925
PDK4	23.3666343091498	0.020833333333333925
MAP2K3	13.3851323740105	-0.010416666666666075
TIMM8A	15.4667408463186	-0.010416666666666075
CPT1A	10.0571127521882	0.020833333333333925
PLA2G12A	10.7947386578312	0.020833333333333925
RRM2	15.9260167787367	-0.010416666666666075
PTCD2	20.5114451560934	-0.005162726211324631
GCH1	9.3422953356574	0.020833333333333925
GLRX5	15.0196222921727	-0.010416666666666075
USP2	12.5708884962727	-0.010416666666666075
IFRD1	11.5791831182528	0.003593841214244442
ITPK1	1.5710862192261	0.020833333333333925
HSPE1	19.3270731635036	-0.010416666666666075
AZIN1	11.9692027396912	-0.010416666666666075
CARHSP1	5.9180068560406	0.020833333333333925
AMACR	7.40185456984095	0.020833333333333925
ID2	2.97006248487435	0.020833333333333925
CYCS	17.3840547622541	-0.010416666666666075
ACO2	15.7301615232874	-0.010416666666666075
