Item ID	Item value	Change in Kuiper test statistic when item removed
RANBP1	20.8398458867934	-0.0026315789473690954
SLC16A1	22.5365714162657	-0.0026315789473690954
PSMD14	23.7570152046277	0.013130242418655236
CNBP	22.1746415574912	-0.0026315789473690954
SRSF1	20.4137057495132	-0.0026315789473690954
TARS	23.2805011724871	-0.0026315789473690954
NR2F2	6.79085793972445	0.04999999999999932
HSPE1	19.3270731635036	-0.0026315789473690954
AUH	12.9826856300813	0.021518112268408385
CTAGE5	11.3170550161517	0.021518112268408385
SERBP1	21.1766096410598	-0.0026315789473690954
CYCS	17.3840547622541	0.007415429993543887
KDSR	11.2891109971914	0.021518112268408385
SNRPF	21.2343906924861	-0.0026315789473690954
EEF1E1	15.5461654914987	0.021518112268408385
RAN	23.1379875412624	-0.0026315789473690954
EIF3A	23.5445013746383	-0.0026315789473690954
AASDHPPT	23.3781526507093	-0.0026315789473690954
CCT5	19.1950068942662	-0.0026315789473690954
C5ORF30	11.3527667519704	0.021518112268408385
