PROBEID	ENTREZID	SYMBOL
1415868_at	12464	Cct4
1415869_a_at	21849	Trim28
1415870_at	12321	Calu
1415871_at	21810	Tgfbi
1415872_at	59013	Hnrnph1
1415873_a_at	54130	Actr1a
1415874_at	24063	Spry1
1415875_at	109163|56306	3010003L21Rik|Fam60a
1415876_a_at	27370	Rps26
1415877_at	22240	Dpysl3
1415878_at	20133	Rrm1
1415879_a_at	67186	Rplp2
1415880_a_at	16783	Lamp1
1415881_at	66092	Ghitm
1415882_at	66092	Ghitm
1415883_a_at	67868	Cela3b
1415884_at	67868	Cela3b
1415885_at	12653	Chgb
1415886_at	27387	Sh2d3c
1415887_at	21787	Tfg
1415888_at	15191	Hdgf
1415889_a_at	22027	Hsp90b1
1415890_at	23971	Papss1
1415891_at	56451	Suclg1
1415892_at	20397	Sgpl1
1415893_at	20397	Sgpl1
1415894_at	18606	Enpp2
1415895_at	20646|84704	Snrpn|Snurf
1415896_x_at	20646|84704	Snrpn|Snurf
1415897_a_at	56615	Mgst1
1415898_at	56615	Mgst1
1415899_at	16477	Junb
1415900_a_at	16590	Kit
1415901_at	26433	Plod3
1415902_at	110695	Aldh7a1
1415903_at	105727	Slc38a1
1415904_at	16956	Lpl
1415905_at	19692	Reg1
1415906_at	19241	Tmsb4x
1415907_at	12445	Ccnd3
1415908_at	22110	Tspyl1
1415909_at	20867	Stip1
1415910_s_at	109006	Ciapin1
1415911_at	16210	Impact
1415912_a_at	102642137|628061|68052	LOC102642137|Rps13-ps4|Rps13
1415913_at	102642137|628061|68052	LOC102642137|Rps13-ps4|Rps13
1415914_at	15384	Hnrnpab
1415915_at	104721	Ddx1
1415916_a_at	108156	Mthfd1
1415917_at	108156	Mthfd1
1415918_a_at	21991	Tpi1
1415919_at	18146	Npdc1
1415920_at	83410	Cstf2t
1415921_a_at	29820	Tnfrsf19
1415922_s_at	17357	Marcksl1
1415923_at	17984	Ndn
1415924_at	21958	Tnp1
1415925_a_at	18226	Nup62
1415926_at	18226	Nup62
1415927_at	11464	Actc1
1415928_a_at	67443	Map1lc3b
1415929_at	67443	Map1lc3b
1415930_a_at	67443	Map1lc3b
1415931_at	16002	Igf2
1415932_x_at	11981	Atp9a
1415933_a_at	12858	Cox5a
1415934_at	108679	Cops8
1415935_at	64074	Smoc2
1415936_at	29815	Bcar3
