PROBEID	ENTREZID	SYMBOL
1417967_at	72199	Mms19
1417968_a_at	17190	Mbd1
1417969_at	76454	Fbxo31
1417970_at	68055	Atp5s
1417971_at	106582	Nrm
1417972_s_at	117109	Pop5
1417973_at	16424	Itih1
1417974_at	16649	Kpna4
1417975_at	16649	Kpna4
1417976_at	11486	Ada
1417977_at	66892	Eif4e3
1417978_at	66892	Eif4e3
1417979_at	64103	Tnmd
1417980_a_at	72999	Insig2
1417981_at	72999	Insig2
1417982_at	72999	Insig2
1417983_a_at	70620	Ube2v2
1417984_at	70620	Ube2v2
1417985_at	67122	Nrarp
1417986_at	67122	Nrarp
1417987_at	26363	Btd
1417988_at	19711	Resp18
1417989_at	22114	Tssk1
1417990_at	72112	Ppp1r14d
1417991_at	13370	Dio1
1417992_a_at	329557|64335	Svs3b|Svs3a
1417993_at	64335	Svs3a
1417994_a_at	11418	Asic2
1417995_at	19260	Ptpn22
1417996_at	64242	Ngb
1417997_at	64242	Ngb
1417998_at	100043508|56351	Gm9769|Ptges3
1417999_at	16432	Itm2b
1418000_a_at	16432	Itm2b
1418001_at	16432	Itm2b
1418002_at	67044	Higd2a
1418003_at	66214	Rgcc
1418004_a_at	65963	Tmem176b
1418005_at	67680	Sdhb
1418006_at	76014	Zc3h18
1418007_at	67367|67394	Paxbp1|4930404I05Rik
1418008_at	67367|67394	Paxbp1|4930404I05Rik
1418009_at	67367|67394	Paxbp1|4930404I05Rik
1418010_a_at	54673	Sh3glb1
1418011_a_at	54673	Sh3glb1
1418012_at	54673	Sh3glb1
1418013_at	66116	Cml1
1418014_a_at	14595	B4galt1
1418015_at	80913	Pum2
1418016_at	80913	Pum2
1418017_at	80913	Pum2
1418018_at	12874	Cpd
1418019_at	12874	Cpd
1418020_s_at	12874	Cpd
1418021_at	12268|625018	C4b|C4a
1418022_at	74838	Naa15
1418023_at	74838	Naa15
1418024_at	74838	Naa15
1418025_at	20893	Bhlhe40
1418026_at	26909	Exo1
1418027_at	26909	Exo1
1418028_at	13190	Dct
1418029_at	23873	Faim
1418030_at	108116	Slco3a1
1418031_at	17925	Myo9b
1418032_at	101142	Itfg2
1418033_s_at	52712	Zkscan6
1418034_at	69527	Mrps9
1418035_a_at	19076	Prim2
1418036_at	19076	Prim2
1418037_at	12269	C4bp
1418038_s_at	68082	Dusp19
1418039_at	67657	Rabl3
1418040_at	66690	Tmem186
1418041_at	66690	Tmem186
1418042_a_at	27416	Abcc5
1418043_at	27416	Abcc5
1418044_at	106894	Hmgxb3
1418045_at	16329	Inpp1
1418046_at	17954	Nap1l2
1418047_at	11922	Neurod6
1418048_at	66202	1110059G10Rik
1418049_at	16998	Ltbp3
1418050_at	14756	Gpld1
1418051_at	13848	Ephb6
1418052_at	17855	Mvk
1418053_at	104069	Sncb
1418054_at	11923	Neurod4
1418055_at	11923	Neurod4
1418056_at	68265	Iqcf3
1418057_at	21844	Tiam1
1418058_at	170757	Adgrl4
1418059_at	170757	Adgrl4
1418060_a_at	23939	Mapk7
1418061_at	16997	Ltbp2
1418062_at	13628	Eef1a2
1418063_at	16545	Kera
1418064_at	69714	Tfpt
1418065_at	19374	Rag2
1418066_at	12632	Cfl2
1418067_at	12632	Cfl2
1418068_at	67273	Ndufa10
1418069_at	11813	Apoc2
1418070_at	12593	Cdyl
1418071_s_at	12593	Cdyl
1418072_at	319179|319181|68024	Hist1h2be|Hist1h2bg|Hist1h2bc
1418073_at	56360	Acot9
1418074_at	20448	St6galnac4
1418075_at	20448	St6galnac4
1418076_at	19143	St14
1418077_at	20821	Trim21
1418078_at	19192	Psme3
1418079_at	19192	Psme3
1418080_at	53418	B4galt2
1418081_at	66114	Dnajc30
1418082_at	18107	Nmt1
1418083_at	66050	0610009B22Rik
1418084_at	18186	Nrp1
1418085_at	18762	Prkcz
1418086_at	68458	Ppp1r14a
1418087_at	22230	Ufd1l
1418088_a_at	55943	Stx8
1418089_at	55943	Stx8
1418090_at	84094	Plvap
1418091_at	81879	Tfcp2l1
1418092_s_at	106628	Trip10
1418093_a_at	13645	Egf
1418094_s_at	12351	Car4
1418095_at	66106	Smpx
1418096_at	27261	Dok3
1418097_a_at	57914	Crlf2
1418098_at	104110	Adcy4
1418099_at	21938	Tnfrsf1b
1418100_at	80515	Chd3os
1418101_a_at	20168	Rtn3
1418102_at	15205	Hes1
1418103_at	83704	Slc12a9
1418104_at	78593	Nrip3
1418105_at	56471	Stmn4
1418106_at	15214	Hey2
1418107_at	21400	Tcea2
1418108_at	170799	Rtkn2
1418109_at	14853	Gspt2
1418110_a_at	16331	Inpp5d
1418111_at	67366	Tmed11
1418112_at	107732	Mrpl10
1418113_at	13101	Cyp2d10
1418114_at	19664	Rbpj
1418115_s_at	240832	Tor1aip2
1418116_at	240832	Tor1aip2
1418117_at	17993	Ndufs4
1418118_at	20517	Slc22a1
1418119_at	60365	Rbm8a
1418120_at	60365	Rbm8a
1418121_at	101568	Vrk3
1418122_at	17880	Myh11
1418123_at	22248	Unc119
1418124_at	68032	Emc4
1418125_at	68142	Ino80
1418126_at	20304	Ccl5
1418127_a_at	26926	Aifm1
1418128_at	11512	Adcy6
1418129_at	74754	Dhcr24
1418130_at	74754	Dhcr24
1418131_at	56045	Samhd1
1418132_a_at	28018	Ubfd1
1418133_at	12051	Bcl3
1418134_at	67453	Slc25a46
1418135_at	17355	Aff1
1418136_at	21804	Tgfb1i1
1418137_at	67840	Mrpl57
1418138_at	53315	Sult1d1
1418139_at	13193	Dcx
1418140_at	13193	Dcx
1418141_at	13193	Dcx
1418142_at	16523	Kcnj8
1418143_at	22365	Vps45
1418144_a_at	18720	Pip5k1a
1418145_at	54723	Tfip11
1418146_a_at	19651	Rbl2
1418147_at	21420	Tfap2c
1418148_at	57742	Abhd1
1418149_at	12652	Chga
1418150_at	170749	Mtmr4
1418151_at	170749	Mtmr4
1418152_at	50887	Hmgn5
1418153_at	16772	Lama1
1418154_at	80750	N4bp1
1418155_at	58916	Myot
1418156_at	57814	Kcne4
1418157_at	13865	Nr2f1
1418158_at	22061	Trp63
1418159_at	21422	Tfcp2
1418160_at	22652	Mkrn3
1418161_at	57340	Jph3
1418162_at	21898	Tlr4
1418163_at	21898	Tlr4
1418164_at	13852	Stx2
1418165_at	16429|493583	Itln1|Itlnb
1418166_at	16161	Il12rb1
1418167_at	83383	Tfap4
1418168_at	142682	Zcchc14
1418169_at	142682	Zcchc14
1418170_a_at	142682	Zcchc14
1418171_at	66684	Tceal8
1418172_at	15199	Hebp1
1418173_at	70810	Krt25
1418174_at	13170	Dbp
1418175_at	22337	Vdr
1418176_at	22337	Vdr
1418177_at	14406	Gabrg2
1418178_at	226180	Ina
1418179_at	67841	Atg3
1418180_at	20683	Sp1
1418181_at	19245	Ptp4a3
1418182_at	19245	Ptp4a3
1418183_a_at	19157	Cyth1
1418184_at	66570	Cenpm
1418185_at	66706	Ndufaf3
1418186_at	14871	Gstt1
1418187_at	54409	Ramp2
1418188_a_at	54409|72289	Ramp2|Malat1
1418189_s_at	54409|72289	Ramp2|Malat1
1418190_at	18979	Pon1
1418191_at	24110	Usp18
1418192_at	17428	Mnt
1418193_at	17428	Mnt
1418194_at	171212	Galnt10
1418195_at	171212	Galnt10
1418196_at	21745	Tep1
1418197_at	22227	Ucp1
1418198_a_at	74140|75751	Tm9sf1|Ipo4
1418199_at	93966	Hemgn
1418200_at	100090	Zbtb48
1418201_at	101497	Plekhg2
1418202_a_at	22404	Wiz
1418203_at	58801	Pmaip1
1418204_s_at	11629	Aif1
1418205_at	56229	Thsd1
1418206_at	64136	Sdf2l1
1418207_at	108017	Fxyd4
1418208_at	18510	Pax8
1418209_a_at	18645	Pfn2
1418210_at	18645	Pfn2
1418211_at	18431	Oca2
1418212_at	18377	Omg
1418213_at	94179	Krt23
1418214_at	16594	Klc2
1418215_at	17288	Mep1b
1418216_at	23887	Ggt5
1418217_at	171567	Nme7
1418218_at	26368	Ceacam9
1418219_at	16168	Il15
1418220_at	14238	Foxf2
1418221_at	12992	Csn1s2b
1418222_at	56412	Noa1
1418223_at	56529	Sec11a
1418224_at	56529	Sec11a
1418225_at	18393	Orc2
1418226_at	18393	Orc2
1418227_at	18393	Orc2
1418228_at	56748	Nfu1
1418229_s_at	56748	Nfu1
1418230_a_at	110829	Lims1
1418231_at	110829	Lims1
1418232_s_at	110829	Lims1
1418233_a_at	66682	Trappc5
1418234_s_at	68183	Bcas2
1418235_at	11793	Atg5
1418236_s_at	11793	Atg5
1418237_s_at	12822	Col18a1
1418238_at	56357	Ivd
1418239_at	103161	Apof
1418240_at	14469	Gbp2
1418241_at	22282	Usf2
1418242_at	14084	Faf1
1418243_at	14133	Fcna
1418244_at	67877	Naa20
1418245_a_at	93686	Rbfox2
1418246_at	93686	Rbfox2
1418247_s_at	93686	Rbfox2
1418248_at	11605	Gla
1418249_at	12909	Crcp
1418250_at	80981	Arl4d
1418251_at	22158	Tulp3
1418252_at	18600	Padi2
1418253_a_at	18415	Hspa4l
1418254_at	56369	Apip
1418255_s_at	20807	Srf
1418256_at	20807	Srf
1418257_at	20499	Slc12a7
1418258_s_at	192662|68097	Arhgdia|Dynll2
1418259_a_at	12496	Entpd2
1418260_at	26559	Hunk
1418261_at	20963	Syk
1418262_at	20963	Syk
1418263_at	30959	Ddx25
1418264_at	60411	Cenpk
1418265_s_at	16363	Irf2
1418266_at	11686	Alox12b
1418267_at	15235	Mst1
1418268_at	15561	Htr3a
1418269_at	16950	Loxl3
1418270_at	30806	Adamts8
1418271_at	59058	Bhlhe22
1418272_at	64059	Oxct2a
1418273_a_at	19946|433003|619883|625281|664969|666899	Rpl30|Gm5481|Gm6109|Gm6570|Gm7429|Gm12191
1418274_at	100043462|621832|668830|68051	Nutf2-ps1|Nutf2-ps2|Gm9386|Nutf2
1418275_a_at	69257	Elf2
1418276_at	69257	Elf2
1418277_at	55934	Rp9
1418278_at	11814	Apoc3
1418279_a_at	11640	Akap1
1418280_at	23849	Klf6
1418281_at	19361	Rad51
1418282_x_at	20701	Serpina1b
1418283_at	12740	Cldn4
1418284_at	21427	Vps72
1418285_at	13641	Efnb1
1418286_a_at	13641	Efnb1
1418287_a_at	12945	Dmbt1
1418288_at	14245	Lpin1
1418289_at	18008	Nes
1418290_a_at	14055	Ezh1
1418291_at	170763	Zfp87
1418292_at	56495	Asna1
1418293_at	15958	Ifit2
1418294_at	54357	Epb41l4b
1418295_s_at	13350	Dgat1
1418296_at	18301	Fxyd5
1418297_at	26757	Dpysl4
1418298_s_at	26757	Dpysl4
1418299_at	26757	Dpysl4
1418300_a_at	17347	Mknk2
1418301_at	54139	Irf6
1418302_at	54397	Ppt2
1418303_at	68231	H2afb1
1418304_at	170677	Cdhr1
1418305_s_at	68147	Gar1
1418306_at	12960	Crybb1
1418307_a_at	20234|638345	Sbp|Sbpl
1418308_at	15574	Hus1
1418309_at	18383	Tnfrsf11b
1418310_a_at	19771	Rlbp1
1418311_at	63828	Fn3k
1418312_at	57247	Zfp276
1418313_at	57247	Zfp276
1418314_a_at	268859	Rbfox1
1418315_at	26423	Nr5a1
1418316_a_at	17169	Mark3
1418317_at	16870	Lhx2
1418318_at	66889	Rnf128
1418319_at	192169	Ufsp2
1418320_at	76560	Prss8
1418321_at	13177	Eci1
1418322_at	12916	Crem
1418323_at	14155	Fem1b
1418324_at	14155	Fem1b
1418325_at	20768	Sephs2
1418326_at	20539	Slc7a5
1418327_at	68002	Sdhaf4
1418328_at	100134861|12651|12895	ChkbCpt1b|Chkb|Cpt1b
1418329_at	66522	Pgpep1
1418330_at	13018	Ctcf
1418331_at	66179	Ogfod3
1418332_a_at	67269	Agtpbp1
1418333_at	17764	Mtf1
1418334_at	27214	Dbf4
1418335_a_at	116905|246257	Dph1|Ovca2
1418336_at	114896	Afg3l1
1418337_at	19895	Rpia
1418338_at	74320	Wdr33
1418339_at	19691	Recql
1418340_at	14127	Fcer1g
1418341_at	19341	Rab4a
1418342_at	19687	Rfc1
1418343_at	114674	Gtf2ird2
1418344_at	60455	Tmem8
1418345_at	21944|619441|69583	Tnfsf12|Tnfsfm13|Tnfsf13
1418346_at	27356	Insl6
1418347_at	54638|54646	Ccdc22|Ppp1r3f
1418348_a_at	75452	Ascc2
1418349_at	15200	Hbegf
1418350_at	15200	Hbegf
1418351_a_at	13436	Dnmt3b
1418352_at	15486	Hsd17b2
1418353_at	12507	Cd5
1418354_at	16834	Cog1
1418355_at	53322	Nucb2
1418356_at	246221	Mpst
1418357_at	15228	Foxg1
1418358_at	17235	Smcp
1418359_at	79565	Wbscr27
1418360_at	22671	Rnf112
1418361_at	104346	Gas8
1418362_at	22702	Zfp42
1418363_at	16770	Lalba
1418364_a_at	100862446|14325	LOC100862446|Ftl1
1418365_at	13036	Ctsh
1418366_at	15267|319192	Hist2h2aa1|Hist2h2aa2
1418367_x_at	15267|319192	Hist2h2aa1|Hist2h2aa2
1418368_at	57263	Retnlb
1418369_at	19075	Prim1
1418370_at	21924	Tnnc1
1418371_at	68097	Dynll2
1418372_at	11564	Adsl
1418373_at	56012	Pgam2
1418374_at	17178	Fxyd3
1418375_at	110962	Mbd6
1418376_at	14170	Fgf15
1418377_a_at	30954	Siva1
1418378_at	66557	Bpifb2
1418379_s_at	78560	Adgra3
1418380_at	21749	Terf1
1418381_at	22661	Zfp148
1418382_at	494504	Apcdd1
1418383_at	494504	Apcdd1
1418384_at	68117	Apool
1418385_at	67116	Cuedc2
1418386_at	68043	N6amt2
1418387_at	75339	Mphosph8
1418388_s_at	75339	Mphosph8
1418389_at	67238	Fam220a
1418390_at	192285	Phf21a
1418391_at	192285	Phf21a
1418392_a_at	55932	Gbp3
1418393_a_at	16404	Itga7
1418394_a_at	26364	Adgre5
1418395_at	67473	Slc47a1
1418396_at	106512	Gpsm3
1418397_at	27081	Zfp275
1418398_a_at	27027	Tspan32
1418399_at	105440	Kctd9
1418400_at	67557	Larp6
1418401_a_at	70686	Dusp16
1418402_at	11492	Adam19
1418403_at	11492	Adam19
1418404_at	19367	Rad9a
1418405_at	54426	Hgfac
1418406_at	18584	Pde8a
1418407_at	18584	Pde8a
1418408_at	66361	Zfand1
1418409_at	16469	Jrk
1418410_at	16469	Jrk
1418411_at	50788	Fbxl8
1418412_at	21987	Tpd52l1
1418413_at	12391	Cav3
1418414_at	16510	Kcnh1
1418415_at	15413	Hoxb5
1418416_x_at	56868	Psg23
1418417_at	17681	Msc
1418418_a_at	19112	Prl8a6
1418419_at	72194	Fbxl20
1418420_at	17927	Myod1
1418421_at	12029	Bcl6b
1418422_at	93806	Serpinb9g
1418423_s_at	20709|20710|544923|93806	Serpinb9f|Serpinb9e|Gm11397|Serpinb9g
1418424_at	21930	Tnfaip6
1418425_at	170574	Sp7
1418426_at	71828	Gtf2a1l
1418427_at	16573	Kif5b
1418428_at	16573	Kif5b
1418429_at	16573	Kif5b
1418430_at	16573	Kif5b
1418431_at	16573	Kif5b
1418432_at	12283	Cab39
1418433_at	12283	Cab39
1418434_at	54484	Mkrn1
1418435_at	54484	Mkrn1
1418436_at	53331	Stx7
1418437_a_at	21428	Mlx
1418438_at	14079	Fabp2
1418439_at	67270	Mrpl42
1418440_at	12837	Col8a1
1418441_at	12837	Col8a1
1418442_at	103573	Xpo1
1418443_at	103573	Xpo1
1418444_a_at	56209	Gde1
1418445_at	20502	Slc16a2
1418446_at	20502	Slc16a2
1418447_at	27277	Golga5
1418448_at	20130	Rras
1418449_at	16763	Lad1
1418450_at	26968	Islr
1418451_at	14702	Gng2
1418452_at	14702	Gng2
1418453_a_at	11931	Atp1b1
1418454_at	50530	Mfap5
1418455_at	56358	Copz2
1418456_a_at	57266	Cxcl14
1418457_at	57266	Cxcl14
1418458_at	56317	Anapc7
1418459_at	67015	Ccdc91
1418460_at	27059	Sh3d19
1418461_at	27059	Sh3d19
1418462_at	50911	Exosc9
1418463_at	18709	Pik3r2
1418464_at	17183	Matn4
1418465_at	17972	Ncf4
1418466_at	67150	Rnf141
1418467_at	66993	Smarcd3
1418468_at	100039484|100039503|11744	Gm2260|Gm2274|Anxa11
1418469_at	268903	Nrip1
1418470_at	22612	Yes1
1418471_at	18654	Pgf
1418472_at	11484	Aspa
1418473_at	66388	Cutc
1418474_at	85308	Emc9
1418475_at	20277	Scnn1b
1418476_at	12931	Crlf1
1418477_at	17180	Matn1
1418478_at	109594	Lmo1
1418479_at	245944	Vps54
1418480_at	57349	Ppbp
1418481_at	268930	Pkmyt1
1418482_at	56368	Cyb561d2
1418483_a_at	14594	Ggta1
1418484_at	24084	Tekt2
1418485_at	20536	Slc4a3
1418486_at	22361	Vnn1
1418487_at	72388	Ripk4
1418488_s_at	72388	Ripk4
1418489_a_at	54598	Calcrl
1418490_at	257635	Sdsl
1418491_a_at	67049	Pus3
1418492_at	23893	Grem2
1418493_a_at	20617	Snca
1418494_at	13592	Ebf2
1418495_at	57432	Zc3h8
1418496_at	15375	Foxa1
1418497_at	14168	Fgf13
1418498_at	14168	Fgf13
1418499_a_at	57442	Kcne3
1418500_at	54561	Nap1l3
1418501_a_at	170719	Oxr1
1418502_a_at	170719	Oxr1
1418503_at	15526	Hspa9
1418504_at	15526	Hspa9
1418505_at	71207	Nudt4
1418506_a_at	21672	Prdx2
1418507_s_at	216233	Socs2
1418508_a_at	14784	Grb2
1418509_at	12409	Cbr2
1418510_s_at	50753	Fbxo8
1418511_at	56429	Dpt
1418512_at	56274	Stk3
1418513_at	56274	Stk3
1418514_at	17765	Mtf2
1418515_at	17765	Mtf2
1418516_at	17765	Mtf2
1418517_at	16373	Irx3
1418518_at	18550	Furin
1418519_at	23923	Aadat
1418520_at	22134|22135	Tgoln1|Tgoln2
1418521_a_at	17827	Mtx1
1418522_at	17827	Mtx1
1418523_at	23807	Arih2
1418524_at	18536	Pcm1
1418525_at	18536	Pcm1
1418526_at	14105	Srsf10
1418527_a_at	14105	Srsf10
1418528_a_at	13135	Dad1
1418529_at	66246	Osgep
1418530_at	59015	Nup160
1418531_at	170834	Oosp1
1418532_at	57265	Fzd2
1418533_s_at	57265	Fzd2
1418534_at	57265	Fzd2
1418535_at	19731	Rgl1
1418536_at	110558|15018	H2-Q9|H2-Q7
1418537_at	67441	Isoc2b
1418538_at	105785	Kdelr3
1418539_a_at	19267	Ptpre
1418540_a_at	19267	Ptpre
1418541_at	52504	Cenpo
1418542_s_at	52504	Cenpo
1418543_s_at	52715	Ccdc43
1418544_at	56461	Kcnip3
1418545_at	83767	Wasf1
1418546_a_at	76630	Stambpl1
1418547_at	21789	Tfpi2
1418548_at	20945	Svs6
1418549_at	12640	Cga
1418550_x_at	13218	Defa-rs1
1418551_at	17868	Mybpc3
1418552_at	12057	Opn1sw
1418553_at	102098	Arhgef18
1418554_at	11536	Gpr182
1418555_x_at	20728	Spic
1418556_at	12344	Capza3
1418557_s_at	58864	Tssk3
1418558_at	19434	Rax
1418559_at	21755	Prss39
1418560_at	18597	Pdha1
1418561_at	81898	Sf3b1
1418562_at	81898	Sf3b1
1418563_at	66870	Serbp1
1418564_s_at	66870	Serbp1
1418565_at	66870	Serbp1
1418566_s_at	52653	Nudcd2
1418567_a_at	20813	Srp14
1418568_x_at	20813	Srp14
1418569_at	74202	Fblim1
1418570_at	59287	Ncstn
1418571_at	27279	Tnfrsf12a
1418572_x_at	27279	Tnfrsf12a
1418573_a_at	19383	Raly
1418574_a_at	20422	Shfm1
1418575_at	20422	Shfm1
1418576_at	67180	Yipf5
1418577_at	93679	Trim8
1418578_at	13139	Dgka
1418579_at	26370	Cetn2
1418580_at	67775	Rtp4
1418581_a_at	16886	Limk2
1418582_at	12398	Cbfa2t3
1418583_at	66847	Hint3
1418584_at	66671	Ccnh
1418585_at	66671	Ccnh
1418586_at	11515	Adcy9
1418587_at	22031	Traf3
1418588_at	22360	Nrsn1
1418589_a_at	17349	Mlf1
1418590_at	16650	Kpna6
1418591_at	58233	Dnaja4
1418592_at	58233	Dnaja4
1418593_at	21343	Taf6
1418594_a_at	17977	Ncoa1
1418595_at	57435	Plin4
1418596_at	14186	Fgfr4
1418597_at	21975	Top3a
1418598_at	140629	Ubox5
1418599_at	12814	Col11a1
1418600_at	16596	Klf1
1418601_at	26358	Aldh1a7
1418602_at	12555	Cdh15
1418603_at	54140	Avpr1a
1418604_at	54140	Avpr1a
1418605_at	22025	Nr2c1
1418606_at	15430	Hoxd10
1418607_at	67235	Zkscan14
1418608_at	70405	Calml3
1418609_at	54448	Il1f6
1418610_at	140919	Slc17a6
1418611_at	14788	Gpr162
1418612_at	20555	Slfn1
1418613_at	56379	Kcnj1
1418614_at	56379	Kcnj1
1418615_at	11899	Astn1
1418616_at	17135	Mafk
1418617_x_at	12745	Clgn
1418618_at	13798	En1
1418619_at	15898	Icam5
1418620_at	11859	Phox2a
1418621_at	59021	Rab2a
1418622_at	59021	Rab2a
1418623_at	59021	Rab2a
1418624_at	22608	Ybx1
1418625_s_at	100042025|14433|378954|433273|654472	Gapdh-ps15|Gapdh|3000002C10Rik|Gm5523|Gm12070
1418626_a_at	12759	Clu
1418627_at	14630	Gclm
1418628_at	20218	Khdrbs1
1418629_a_at	20218	Khdrbs1
1418630_at	20218	Khdrbs1
1418631_at	22214	Ube2h
1418632_at	22214	Ube2h
1418633_at	18128	Notch1
1418634_at	18128	Notch1
1418635_at	27049	Etv3
1418636_at	27049	Etv3
1418637_at	27049	Etv3
1418638_at	102642102|14999|15000	LOC102642102|H2-DMb1|H2-DMb2
1418639_at	20389	Sftpc
1418640_at	93759	Sirt1
1418641_at	16822	Lcp2
1418642_at	16822	Lcp2
1418643_at	66109	Tspan13
1418644_a_at	20869	Stk11
1418645_at	15109	Hal
1418646_at	14670	Gnl1
1418647_at	14670	Gnl1
1418648_at	112407	Egln3
1418649_at	112407	Egln3
1418650_at	67946	Spata6
1418651_at	67946	Spata6
1418652_at	17329	Cxcl9
1418653_at	107141	Cyp2c50
1418654_at	56185	Hao2
1418655_at	14421	B4galnt1
1418656_at	66373|665903	Lsm5|Gm7846
1418657_at	70020	Ino80b
1418658_at	66302	Rmdn1
1418659_at	12753	Clock
1418660_at	12753	Clock
1418661_at	54608	Abhd2
1418662_at	66526	Tceanc2
1418663_at	17475	Mpdz
1418664_at	17475	Mpdz
1418665_at	114663	Impa2
1418666_at	19288	Ptx3
1418667_at	66975	Trappc13
1418668_at	117147	Acsm1
1418669_at	15530	Hspg2
1418670_s_at	15530	Hspg2
1418671_at	12337	Capn5
1418672_at	27384	Akr1c13
1418673_at	20583	Snai2
1418674_at	18414	Osmr
1418675_at	18414	Osmr
1418676_at	104360	Isl2
1418677_at	11474	Actn3
1418678_at	15117	Has2
1418679_at	14943	Gzmf
1418680_at	15160	Serpind1
1418681_at	67574	Alg13
1418682_at	21744	Adad1
1418683_at	22342	Lin7b
1418684_at	69623	Zfp33b
1418685_at	117149	Tirap
1418686_at	114643	Oas1c
1418687_at	11838	Arc
1418688_at	12311	Calcr
1418689_at	58518	Cts6
1418690_at	19283	Ptprz1
1418691_at	19739	Rgs9
1418692_at	17274	Rab8a
1418693_at	15381	Hnrnpc
1418694_at	74287	Kcmf1
1418695_a_at	74287	Kcmf1
1418696_at	192653	Ttc36
1418697_at	21743	Inmt
1418698_a_at	14151	Fech
1418699_s_at	14151	Fech
1418700_at	79464	Lias
1418701_at	12846	Comt
1418702_a_at	66462	2810428I15Rik
1418703_at	56878	Rbms1
1418704_at	20196	S100a13
1418705_at	12951	Crx
1418706_at	76257	Slc38a3
1418707_at	67384	Bag4
1418708_at	11425	Apoc4
1418709_at	12865	Cox7a1
1418710_at	12509	Cd59a
1418711_at	18590	Pdgfa
1418712_at	58804	Cdc42ep5
1418713_at	13180	Pcbd1
1418714_at	18218	Dusp8
1418715_at	75735	Pank1
1418716_at	64658	Mrps25
1418717_at	64658	Mrps25
1418718_at	66102	Cxcl16
1418719_at	76478	Haus8
1418720_at	26895	Cops7b
1418721_at	26895	Cops7b
1418722_at	18054	Ngp
1418723_at	65086	Lpar3
1418724_at	12630	Cfi
1418725_at	66326	Dnajc5b
1418726_a_at	21956	Tnnt2
1418727_at	170762	Nup155
1418728_at	20845	Star
1418729_at	20845	Star
1418730_at	19820	Rlim
1418731_at	19820	Rlim
1418732_s_at	67836	Wdr83
1418733_at	22160	Twist1
1418734_at	15006|15013	H2-Q1|H2-Q2
1418735_at	16682	Krt4
1418736_at	26879	B3galnt1
1418737_at	66401	Nudt2
1418738_at	20266	Scn1b
1418739_at	27219	Sgk2
1418740_at	67926	Spert
1418741_at	16421	Itgb7
1418742_at	16672	Krt34
1418743_a_at	57816	Tesc
1418744_s_at	57816	Tesc
1418745_at	27047	Omd
1418746_at	56695	Pnkd
1418747_at	20375	Spi1
1418748_at	12365	Casp14
1418749_at	234353	Psd3
1418750_at	140571	Plxnb3
1418751_at	54390	Sit1
1418752_at	11670	Aldh3a1
1418753_at	14584	Gfpt2
1418754_at	11514	Adcy8
1418755_at	21384	Tbx15
1418756_at	22044	Trh
1418757_at	70928	Trim69
1418758_a_at	19159	Cyth3
1418759_at	19256	Ptpn20
1418760_at	17252	Rdh11
1418761_at	140486	Igf2bp1
1418762_at	13136	Cd55
1418763_at	52633	Nit2
1418764_a_at	23827	Bpnt1
1418765_at	171284	Timd2
1418766_s_at	171284	Timd2
1418767_at	170716	Cyp4f13
1418768_at	74143	Opa1
1418769_at	59006	Myoz2
1418770_at	12481	Cd2
1418771_a_at	56373	Cpb2
1418772_at	105203	Fam208b
1418773_at	60527	Fads3
1418774_a_at	11977	Atp7a
1418775_at	107242	AI837181
1418776_at	76074	Gbp8
1418777_at	20300	Ccl25
1418778_at	66815	Ccdc109b
1418779_at	19671	Rce1
1418780_at	56050	Cyp39a1
1418781_at	66176	Nat9
1418782_at	20183	Rxrg
1418783_at	56843	Trpm5
1418784_at	14809	Grik5
1418785_at	60597	Mapk8ip2
1418786_at	60597	Mapk8ip2
1418787_at	17195	Mbl2
1418788_at	21687	Tek
1418789_at	268534	Sntg2
1418790_at	54713	Fezf2
1418791_at	20404	Sh3gl2
1418792_at	20404	Sh3gl2
1418793_at	15932	Idua
1418794_at	110911	Cds2
1418795_at	110911	Cds2
1418796_at	20256	Clec11a
1418797_at	64381	Ms4a8a
1418798_s_at	56504	Srpk3
1418799_a_at	12821	Col17a1
1418800_at	17341	Bhlha15
1418801_at	74570	Zkscan1
1418802_at	97423	R74862
1418803_a_at	14103	Fasl
1418804_at	84112	Sucnr1
1418805_at	20287	Sct
1418806_at	12986	Csf3r
1418807_at	67304	3110070M22Rik
1418808_at	19682	Rdh5
1418809_at	18722|18724|18725|18728|18733	Pira1|Pira11|Pira2|Pira5|Pirb
1418810_at	12921	Crhr1
1418811_at	54422	Barhl1
1418812_a_at	54422	Barhl1
1418813_at	268591	Serpina5
1418814_s_at	66414	Ndufa12
1418815_at	12558	Cdh2
1418816_at	67064	Chmp1b
1418817_at	67064	Chmp1b
1418818_at	11830	Aqp5
1418819_at	67166	Arl8b
1418820_s_at	67966	Zcchc10
1418821_at	13085	Cyp2a12
1418822_a_at	11845	Arf6
1418823_at	11845	Arf6
1418824_at	11845	Arf6
1418825_at	15944	Irgm1
1418826_at	69774	Ms4a6b
1418827_at	67276	Eri1
1418828_at	67276	Eri1
1418829_a_at	13807	Eno2
1418830_at	12518	Cd79a
1418831_at	56460	Pkp3
1418832_at	56460	Pkp3
1418833_at	11611	Agxt
1418834_at	117197	Bloc1s4
1418835_at	21664	Phlda1
1418836_at	67375	Qprt
1418837_at	67375	Qprt
1418838_at	11666	Abcd1
1418839_at	170823	Glmn
1418840_at	18569	Pdcd4
1418841_s_at	12537	Cdk11b
1418842_at	15163	Hcls1
1418843_at	22785	Slc30a4
1418844_at	102580	Alg9
1418845_at	19123	Proc
