SYMBOL	meta2d_phase
1110059E24Rik	15.0817948148548
1190002N15Rik	15.7701032313443
1700023H06Rik	6.09913878436115
1810055G02Rik	11.2992140909368
2310035C23Rik	1.65626271848205
2610507B11Rik	0.8431068117412
2700094K13Rik	9.99261173937095
2810408I11Rik	17.1911300296478
2810459M11Rik	3.98602683367105
2900026A02Rik	8.2477105944005
4833411C07Rik	2.79573523631345
4930513N20Rik	15.4908595690029
4930581F22Rik	9.4099945909526
4931406C07Rik	21.6192864650342
5031439G07Rik	8.23493351082145
5730508B09Rik	12.0221442261418
5830473C10Rik	4.6038656005588
8430408G22Rik	4.17766645626555
A130040M12Rik|1200015M12Rik	2.0756685609218
A230050P20Rik	1.11934172507805
Aamp	11.0379175035624
Aasdhppt	23.3781526507093
Abat	4.19736902702145
Abca8a	10.2338497968892
Abcd2	10.1416759063683
Abhd4	5.440138819394
Abtb1	6.4706564183521
Acad11	11.9442980236698
Aco2	15.7301615232874
Acot1	18.5909171234656
Acot12	10.6901741698653
Acot2|Acot1	18.0200246927126
Acy1	16.4843118310595
Adprh	23.7178383164766
Agxt	5.67361056246035
AI195470	22.0294450604908
AI314180	5.01830467299455
Akr1c13|Akr1c12	15.0079265401804
Akr1c19	14.7067337758692
Alcam	4.43774423726535
Aldh1l1	21.1430140703066
Aldh8a1	4.20497407531285
Alkbh3	4.8168047500329
Amacr	7.40185456984095
Amd1	14.4216208556104
Anapc16	21.3480127714987
Ank3	8.1450686003453
Anp32a	22.9839589738293
Aph1a	10.1872966445961
Apon	2.21903130022725
Aqp9	8.2168998568669
Arhgap24	1.39274643943325
Arl2bp	5.95272729875725
Arl4a	22.0793268422001
Arl6ip1	10.6007185705423
Asl	16.544026181746
Atat1	22.9795422029201
Atg3	16.0442954643239
Atp11c	7.7234308962038
Atp6v0b	12.8087407417827
Atp6v1e1	11.527259998583
Auh	12.9826856300813
Avpr1a	23.749004553589
Azin1	11.9692027396912
B4galt5	12.0001594384791
B830008H07Rik	8.25419549070065
BC004004	3.20617810689335
BC023829	15.9781061358249
BC029214	23.4768277125055
Bcar1	7.65828309556215
Bco2	3.1094734252134
Bdh1	9.95579323095615
Bet1	22.0722416435074
Brd7	5.64506540463335
Bri3	10.621636892634
Btg1	23.7071003818207
Calr	1.99090554854665
Carhsp1	5.9180068560406
Casp6	8.43489844838945
Ccbe1	11.258465081065
Ccdc12	3.0917352748181
Ccng2	22.4684726863958
Ccni	3.7872521454417
Ccny	11.3591912989371
Cct3	20.6869285995146
Cct5	19.1950068942662
Cda	21.9005482907647
Cdcp1	22.7074339483265
Cdyl	10.8392194084139
Ceacam1	1.43209312370945
Ceacam1|Ceacam2	4.19112997920535
Cebpd	13.1294418617694
Cenpa	6.69207077965955
Cenpv	8.3695319349683
Cep83os	4.44389855649275
Cfl1	2.72986420387295
Cgrrf1	15.4415075958334
Chchd4	14.8843863095086
Chd6	3.80166416343015
Chic2	7.79947443172835
Chka	22.5962670206289
Chkb	2.923718993322
Ciart	11.1723078905852
Cisd2	11.3864204388796
Cldn1	23.3500682688153
Cldn2	2.22246812568075
Clec2h	7.4632500750489
Clic5	19.145437654161
Clock	22.016808779441
Clpx	0.00476850837864926
Cnbp	22.1746415574912
Cnksr3	3.52662855562435
Cnn3	10.5566973145166
Cnot1|Gm6158	3.41835283158115
Col18a1	3.8392431976887
Col4a2	3.97329920049975
Col5a3	3.61749376525085
Comt	1.6196825071748
Cp	21.5685384227014
Cpd	6.5745438021494
Crebzf	23.4751964155242
Crot	3.7910542795673
Cryzl1	23.076752753095
Csnk1g3	14.0819218329034
Csnk2a2	8.3903835187863
Ctage5	11.3170550161517
Ctdsp2	9.45332407623105
Ctsh	15.7163358815379
Cul2	22.4516330948709
Cycs	17.3840547622541
Cyp39a1	17.5499161531207
D030063E12	11.4215685333776
D16Ertd472e	16.139359334232
D1Ertd622e	11.3527667519704
D630004K10Rik	11.8541474783156
D630036G22Rik	20.8633488826881
Dapk1	23.6845129379613
Dbp	9.903959465159
Dcaf11	5.83197065810355
Dcaf7	4.73202093319635
Dctn4	4.48254244809785
Ddah1	6.11699955090825
Ddi2|Rsc1a1	3.734219389023
Ddx17	2.7537730437091
Ddx39	21.6752068396459
Ddx58	2.98746756448845
Dedd	3.62841669853845
Denr	14.5991365387864
Dhfr	10.6748106039481
Dhrs3	2.23416291615705
Dhx36	4.39019525756585
Dlc1	2.44479263263705
Dmd	16.7134730567725
Dnaaf2|Rpl36a|Rpl36al	19.0088320466028
Dnajb4	15.5784662206951
Dnajc21	21.2929592479596
Dph6	1.4147148723794
Dstn	21.4960149298628
Dtnbp1	9.4669854742479
Dtx4	0.384839199331549
Dyrk2	3.84481640759885
E030016H06Rik	7.6459045594952
E130311K13Rik	2.26620270876325
E2f8	18.9014518078151
E430025E21Rik	5.60201556928145
Eef1e1	15.5461654914987
Eif3a	23.5445013746383
Eif3j2|Eif3j1	15.6411359232551
Eif4b	7.51389667051555
Eif4ebp2	9.2757141379736
Eif4ebp3|Ankhd1|Maskbp3	16.4784675065545
Eif5	5.8719634237571
Elmo3	8.44939276921395
Elovl3	0.193067045391548
Emc6	17.2134433431438
Enpp2	11.4734004961167
Enpp3	4.13017499868165
Epm2aip1	21.4535829904297
Eri1	8.87918382513715
Esr1	17.7407529436136
Ethe1	1.3625769595073
F11	5.3912310016234
Fads2	12.8664004242823
Fam114a1	2.9694909280169
Fam174a	12.2604006275383
Fam204a	6.5429210568071
Fam210a	3.96849547474185
Fam35a	16.5386476544134
Fam76a	10.4795522244185
