Item ID	Item value	Change in Kuiper test statistic when item removed
SLC25A16	11.2539309434769	0.09090909090909094
SLC12A2	21.9630056580104	-0.009090909090909038
RNF144B	22.6308596371757	-0.009090909090909038
AHCTF1	21.1761593402997	0.0072582193424951535
NT5E	23.8851246476003	-0.009090909090909038
ID2	2.97006248487435	-0.009090909090909038
TRIM2	23.3778262482389	-0.009090909090909038
C6ORF89	3.20617810689335	-0.009090909090909038
ZNF76	5.15518595438775	0.07211775122135766
TSC1	2.95059513138395	-0.009090909090909038
CP	21.5685384227014	-0.009090909090909038
