Item ID	Item value	Change in Kuiper test statistic when item removed
FGB	3.88984705944915	-0.01098901098901095
FDPS	21.2315416570921	0.018841638233109914
COL18A1	3.8392431976887	-0.01098901098901095
G6PC	21.947477238423	-0.00612220102195038
HMGCS1	1.542089044137	-0.01098901098901095
GLDC	0.34186429670245	-0.01098901098901095
KRT8	2.1685288143548	-0.01098901098901095
GGCT	23.1944989424554	-0.01098901098901095
RNF144A	23.9495577619463	-0.01098901098901095
FADS2	12.8664004242823	0.06593406593406592
CEACAM1	4.19112997920535	0.001564444000830667
STT3A	2.3419993966187	-0.01098901098901095
KIF21A	7.51971281378895	0.06593406593406592
INTS9	2.798592605548	-0.01098901098901095
