Item ID	Item value	Change in Kuiper test statistic when item removed
COL18A1	3.8392431976887	-0.0032679738562091387
SERPINE2	20.7944183801884	0.055555555555555525
MMD	8.230690748729	0.033693242910446786
GADD45A	10.5014565538889	0.033693242910446786
SDC2	2.1457884285213	-0.0032679738562091387
CREM	23.1549745952158	0.0479763846486137
ABAT	4.19736902702145	-0.0032679738562091387
NR2F2	6.79085793972445	0.0029471463660237784
DTX4	0.384839199331549	0.005403180992899104
MN1	5.5631280366263	-0.0032679738562091387
CARHSP1	5.9180068560406	-0.0032679738562091387
UGP2	10.4255337485706	0.033693242910446786
DDAH1	6.11699955090825	-0.0032679738562091387
ID2	2.97006248487435	-0.0032679738562091387
PXDN	3.12125440164155	-0.0032679738562091387
PEA15	3.6497360924453	-0.0032679738562091387
PDGFC	0.77484701747675	0.002948719171567693
S100A10	2.12770463964715	-0.0032679738562091387
