Item ID	Item value	Change in Kuiper test statistic when item removed
RANBP1	20.8398458867934	-0.018421052631579615
SLC16A1	22.5365714162657	-0.018421052631579615
PSMD14	23.7570152046277	-0.009566309715354715
CNBP	22.1746415574912	-0.018421052631579615
SRSF1	20.4137057495132	-0.018421052631579615
TARS	23.2805011724871	-0.018421052631579615
NR2F2	6.79085793972445	0.0342105263157888
HSPE1	19.3270731635036	-0.018421052631579615
AUH	12.9826856300813	0.0342105263157888
CTAGE5	11.3170550161517	0.0342105263157888
SERBP1	21.1766096410598	-0.018421052631579615
CYCS	17.3840547622541	0.0342105263157888
KDSR	11.2891109971914	0.0342105263157888
SNRPF	21.2343906924861	-0.018421052631579615
EEF1E1	15.5461654914987	0.0342105263157888
RAN	23.1379875412624	-0.018421052631579615
EIF3A	23.5445013746383	-0.018421052631579615
AASDHPPT	23.3781526507093	-0.018421052631579615
CCT5	19.1950068942662	-0.01291829141335471
C5ORF30	11.3527667519704	0.0342105263157888
