Item ID	Item value	Change in Kuiper test statistic when item removed
TIMM8A	15.4667408463186	-0.015151515151515027
G6PD	22.458529659294	0.07575757575757591
POR	12.3741580304414	-0.015151515151515027
GRPEL1	14.946593089848	-0.015151515151515027
PEX11A	14.4726506494811	-0.015151515151515027
MKNK2	13.4678672824165	-0.015151515151515027
PPIF	15.3451971061913	-0.015151515151515027
AK2	12.0071099803571	1.4215360199754112E-4
CYCS	17.3840547622541	0.03617294288650574
MRPL15	16.1522677693416	-0.015151515151515027
ACO2	15.7301615232874	-0.015151515151515027
CLOCK	22.016808779441	0.07575757575757591
