Item ID	Item value	Change in Kuiper test statistic when item removed
ACY1	16.4843118310595	0.0010146564177331285
MRPL15	16.1522677693416	-0.011848263158749206
NUDT3	11.4232401981878	-0.011848263158749206
PEX26	11.8867778292449	-0.011848263158749206
TRAK2	12.1560660854917	-0.011848263158749206
NFU1	11.0433152106528	-0.011848263158749206
UGP2	10.4255337485706	-0.011848263158749206
GRPEL1	14.946593089848	-0.011848263158749206
TRIM2	23.3778262482389	0.02661327530278923
SLC25A40	8.0996448865007	0.026613275302789285
GSTM4	5.34468201305395	0.026613275302789285
IVNS1ABP	16.1504305072227	-0.011848263158749206
TIMM8A	15.4667408463186	-0.011848263158749206
CPT1A	10.0571127521882	-0.011848263158749206
PLA2G12A	10.7947386578312	-0.011848263158749206
SLC16A1	22.5365714162657	0.02661327530278923
SLC10A2	18.8175807690862	0.02661327530278923
THAP4	6.08795745085765	0.026613275302789285
SIKE1	21.5876804141819	0.02661327530278923
MAFB	11.0480475495724	-0.011848263158749206
ARL2BP	5.95272729875725	0.026613275302789285
NDUFAF4	16.0186483323947	-0.011848263158749206
PPP2R2D	9.75050227797295	9.271732668861832E-4
PPIF	15.3451971061913	-0.011848263158749206
CYCS	17.3840547622541	0.02564102564102566
ACO2	15.7301615232874	-0.011848263158749206
B4GALT5	12.0001594384791	-0.011848263158749206
