Item ID	Item value	Change in Kuiper test statistic when item removed
NFIX	8.6155797785648	-0.007105354674872555
LPGAT1	15.7894455055957	-0.008522727272726682
TMEM41B	17.8255643770849	0.009873506678556632
HSPA4L	20.472658023392	0.022727272727273318
GLRX	16.6375508012433	-0.0041420520892226365
PDHB	12.1326089095665	-0.008522727272726682
MRPL15	16.1522677693416	-0.008522727272726682
COMT	1.6196825071748	0.022727272727273318
PSMB10	13.5699574235042	-0.008522727272726682
TRAK2	12.1560660854917	-0.008522727272726682
SUMO1	15.5306868756964	-0.008522727272726682
GRPEL1	14.946593089848	-0.008522727272726682
UROD	16.2204281726808	-0.008522727272726682
FASTK	8.6495967209133	-0.008522727272726682
PDK4	23.3666343091498	0.022727272727273318
MAP2K3	13.3851323740105	-0.008522727272726682
TIMM8A	15.4667408463186	-0.008522727272726682
CPT1A	10.0571127521882	-0.008522727272726682
PLA2G12A	10.7947386578312	-0.008522727272726682
RRM2	15.9260167787367	-0.008522727272726682
PTCD2	20.5114451560934	0.022727272727273318
GCH1	9.3422953356574	-0.008522727272726682
GLRX5	15.0196222921727	-0.008522727272726682
USP2	12.5708884962727	-0.008522727272726682
IFRD1	11.5791831182528	-0.008522727272726682
ITPK1	1.5710862192261	0.022727272727273318
HSPE1	19.3270731635036	0.022727272727273318
AZIN1	11.9692027396912	-0.008522727272726682
CARHSP1	5.9180068560406	0.022727272727273318
AMACR	7.40185456984095	0.022727272727273318
ID2	2.97006248487435	0.022727272727273318
CYCS	17.3840547622541	0.009727838387339871
ACO2	15.7301615232874	-0.008522727272726682
