Item ID	Item value	Change in Kuiper test statistic when item removed
RB1	6.28398591934125	0.012443438914026939
MCM7	0.683561628074998	0.012443438914026939
GEMIN2	13.5881423735203	0.012443438914026939
HNRNPR	2.70776197875055	0.012443438914026939
DCAF7	4.73202093319635	0.012443438914026939
SUMO1	15.5306868756964	-0.007164404223227949
PPP2R1B	2.82936641750665	0.012443438914026939
PPP2R5E	11.7424650038956	0.012443438914026939
NUP62	20.2936880510849	-0.007164404223227949
TRIM24	11.4617091826284	0.012443438914026939
TMPO	19.8469214760747	-0.007164404223227949
CCT3	20.6869285995146	-0.007164404223227949
HSP90AA1	20.4614110018926	-0.007164404223227949
CPT1A	10.0571127521882	0.012443438914026939
FTSJ1	18.0891426387061	-0.007164404223227949
CLPX	0.00476850837864926	0.012443438914026939
NME1	21.1720453654628	-0.007164404223227949
SIKE1	21.5876804141819	-0.007164404223227949
DDX39A	21.6752068396459	-0.007164404223227949
SNRPF	21.2343906924861	-0.007164404223227949
FAM76A	10.4795522244185	0.012443438914026939
EEF1E1	15.5461654914987	-0.007164404223227949
RNASEH2B	15.8743667448352	-0.007164404223227949
NUP205	23.2184093320498	-0.00610781820254469
SRSF1	20.4137057495132	-0.007164404223227949
NR1I2	11.1053387139617	0.012443438914026939
ZNF22	23.1930512675534	-0.007164404223227949
CENPA	6.69207077965955	0.012443438914026939
PRPSAP2	22.9824696817848	-0.007164404223227949
SMNDC1	6.17235059435105	0.012443438914026939
CCT5	19.1950068942662	-0.007164404223227949
FDPS	21.2315416570921	-0.007164404223227949
RANBP1	20.8398458867934	-0.007164404223227949
TIMM8A	15.4667408463186	-0.004499986332486272
SLC16A1	22.5365714162657	-0.007164404223227949
RRM2	15.9260167787367	-0.007164404223227949
GCH1	9.3422953356574	0.012443438914026939
HSPA4	8.81610537467175	0.012443438914026939
CNBP	22.1746415574912	-0.007164404223227949
KIAA0196	5.60201556928145	0.012443438914026939
NAP1L1	20.7011531819113	-0.007164404223227949
HSPE1	19.3270731635036	-0.007164404223227949
RPIA	17.0179328490872	-0.007164404223227949
DHFR	10.6748106039481	0.012443438914026939
WEE1	13.9681773336131	0.012443438914026939
SERBP1	21.1766096410598	-0.007164404223227949
POLR3G	18.1996835823923	-0.007164404223227949
CYCS	17.3840547622541	-0.007164404223227949
HNRNPC	21.4542977193464	-0.007164404223227949
TARDBP	22.7937379726452	-0.007164404223227949
RAN	23.1379875412624	-0.007164404223227949
BET1	22.0722416435074	-0.007164404223227949
