Item ID	Item value	Change in Kuiper test statistic when item removed
COL18A1	3.8392431976887	-0.008620689655172598
CENPA	6.69207077965955	-0.0022618794074943382
LASP1	0.751667423077651	-0.008620689655172598
RASSF3	7.14066313063885	0.010070658302298197
RDH11	23.3303836668338	-0.008620689655172598
TRIM2	23.3778262482389	-0.008620689655172598
PDK4	23.3666343091498	-0.008620689655172598
PLXNA2	2.47573510850665	-0.008620689655172598
RIOK2	15.1889394907265	0.0270935960591131
DMD	16.7134730567725	0.0270935960591131
JUNB	6.2730811992356	-0.0022618794074943382
NDEL1	13.1406745825266	0.0270935960591131
S100A10	2.12770463964715	-0.008620689655172598
UBE2F	18.5828749659942	0.0270935960591131
CPT1A	10.0571127521882	0.0270935960591131
PARP3	5.83933152086975	-0.0022618794074943382
G6PD	22.458529659294	0.005346323401127284
HMGCS1	1.542089044137	-0.008620689655172598
ELOVL3	0.193067045391548	-0.008620689655172598
ANK3	8.1450686003453	0.0270935960591131
HOPX	16.2881164386304	0.0270935960591131
WRAP73	1.3491897200904	-0.008620689655172598
RNF149	4.416623113266	-0.008620689655172598
ETHE1	1.3625769595073	-0.008620689655172598
CALR	1.99090554854665	-0.008620689655172598
TARDBP	22.7937379726452	-0.008007725055300008
INTS9	2.798592605548	-0.008620689655172598
PPIB	1.3561592276728	-0.008620689655172598
TNRC6A	3.6796424882416	-0.008620689655172598
