Item ID	Item value	Change in Kuiper test statistic when item removed
PSMD11	3.55913331886345	-8.912655971479166E-4
MRPS35	10.5398955073425	-8.912655971479166E-4
DCTN4	4.48254244809785	-8.912655971479166E-4
CREM	23.1549745952158	-8.912655971479166E-4
ZNF22	23.1930512675534	-8.912655971479166E-4
SLC2A5	8.92818024984745	-8.912655971479166E-4
IPO7	16.5819707782831	0.02941176470588236
RPS6KA3	2.16609389773615	-8.912655971479166E-4
UGP2	10.4255337485706	-8.912655971479166E-4
PTER	22.5818902016638	-8.912655971479166E-4
GRK5	1.5276507536954	-8.912655971479166E-4
SLC25A40	8.0996448865007	-8.912655971479166E-4
SLC39A8	3.01916372505625	-8.912655971479166E-4
ATP6V1E1	11.527259998583	0.009169255110942631
DEDD	3.62841669853845	-8.912655971479166E-4
PSPH	21.2499962985765	7.263722789467852E-4
KLHDC2	5.9665913715418	-8.912655971479166E-4
KLF10	10.585747424783	-8.912655971479166E-4
SMAD2	9.7905035384376	-8.912655971479166E-4
SLC12A2	21.9630056580104	-8.912655971479166E-4
CHKB	2.923718993322	-8.912655971479166E-4
CDYL	10.8392194084139	-8.912655971479166E-4
PTPN12	8.17359746751405	-8.912655971479166E-4
AZIN1	11.9692027396912	0.017523015282360388
SRPK1	21.1969096217114	0.0013206792722313399
PPM1A	11.0004775154243	-8.912655971479166E-4
EIF5	5.8719634237571	-8.912655971479166E-4
P2RX4	8.286904981223	-8.912655971479166E-4
ARL2BP	5.95272729875725	-8.912655971479166E-4
CTDSP2	9.45332407623105	-8.912655971479166E-4
CAPRIN1	23.1779018826964	-8.912655971479166E-4
TAX1BP1	8.12691288085045	-8.912655971479166E-4
CLOCK	22.016808779441	-8.912655971479166E-4
BET1	22.0722416435074	-8.912655971479166E-4
