Item ID	Item value	Change in Kuiper test statistic when item removed
RB1	6.28398591934125	-0.0064732714356788845
GSTM4	5.34468201305395	-0.0064732714356788845
CEACAM1	4.19112997920535	-0.0064732714356788845
PPFIBP1	5.34565318792665	-0.0064732714356788845
P2RX4	8.286904981223	-5.634222324414351E-4
RBPMS	4.08073022146175	-0.0064732714356788845
DDX58	2.98746756448845	0.02737079252540242
CCNG2	22.4684726863958	0.08181818181818146
CREM	23.1549745952158	0.08181818181818146
SERPINB9	4.68915150514805	-0.0064732714356788845
ANK3	8.1450686003453	-0.0064732714356788845
